"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110","X111","X112","X113","X114","X115","X116"
"x",-11.25,-10.85,-10.45,-10.05,-9.65,-9.25,-8.85,-8.45,-8.05,-7.65,-7.25,-6.85,-6.45,-6.05,-5.65,-5.25,-4.85,-4.45,-4.05,-3.65,-3.25,-2.85,-2.45,-2.05,-1.65,-1.25,-0.85,-0.449999999999999,-0.0499999999999989,0.350000000000001,0.75,1.15,1.55,1.95,2.35,2.75,3.15,3.55,3.95,4.35,4.75,5.15,5.55,5.95,6.35,6.75,7.15,7.55,7.95,8.35,8.75,9.15,9.55,9.95,10.35,10.75,11.15,11.55,11.95,12.35,12.75,13.15,13.55,13.95,14.35,14.75,15.15,15.55,15.95,16.35,16.75,17.15,17.55,17.95,18.35,18.75,19.15,19.55,19.95,20.35,20.75,21.15,21.55,21.95,22.35,22.75,23.15,23.55,23.95,24.35,24.75,25.15,25.55,25.95,26.35,26.75,27.15,27.55,27.95,28.35,28.75,29.15,29.55,29.95,30.35,30.75,31.15,31.55,31.95,32.35,32.75,33.15,33.55,33.95,34.35,34.75
"y",31.75,32.1239130434783,32.4978260869565,32.8717391304348,33.245652173913,33.6195652173913,33.9934782608696,34.3673913043478,34.7413043478261,35.1152173913043,35.4891304347826,35.8630434782609,36.2369565217391,36.6108695652174,36.9847826086957,37.3586956521739,37.7326086956522,38.1065217391304,38.4804347826087,38.854347826087,39.2282608695652,39.6021739130435,39.9760869565217,40.35,40.7239130434783,41.0978260869565,41.4717391304348,41.845652173913,42.2195652173913,42.5934782608696,42.9673913043478,43.3413043478261,43.7152173913043,44.0891304347826,44.4630434782609,44.8369565217391,45.2108695652174,45.5847826086957,45.9586956521739,46.3326086956522,46.7065217391304,47.0804347826087,47.454347826087,47.8282608695652,48.2021739130435,48.5760869565217,48.95,49.3239130434783,49.6978260869565,50.0717391304348,50.445652173913,50.8195652173913,51.1934782608696,51.5673913043478,51.9413043478261,52.3152173913043,52.6891304347826,53.0630434782609,53.4369565217391,53.8108695652174,54.1847826086957,54.5586956521739,54.9326086956522,55.3065217391304,55.6804347826087,56.054347826087,56.4282608695652,56.8021739130435,57.1760869565217,57.55,57.9239130434783,58.2978260869565,58.6717391304348,59.045652173913,59.4195652173913,59.7934782608696,60.1673913043478,60.5413043478261,60.9152173913044,61.2891304347826,61.6630434782609,62.0369565217391,62.4108695652174,62.7847826086957,63.1586956521739,63.5326086956522,63.9065217391304,64.2804347826087,64.654347826087,65.0282608695652,65.4021739130435,65.7760869565217,66.15,66.5239130434783,66.8978260869565,67.2717391304348,67.645652173913,68.0195652173913,68.3934782608696,68.7673913043478,69.1413043478261,69.5152173913043,69.8891304347826,70.2630434782609,70.6369565217391,71.0108695652174,71.3847826086956,71.7586956521739,72.1326086956522,72.5065217391304,72.8804347826087,73.254347826087,73.6282608695652,74.0021739130435,74.3760869565217,74.75
"z.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.20148972096469e-322,5.62634164805015e-224,6.30064491323097e-144,1.14773580536397e-81,3.40092361082055e-37,1.6392675629726e-10,0.128528913033203
"z.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.50993247550921e-232,1.06496745887716e-151,1.93996217995723e-89,5.74841627409473e-45,2.77077447626462e-18,2.17246189541289e-09
"z.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34837876156557e-303,8.28922412021269e-286,8.28922412020967e-286,1.3483787615641e-303,0,0,0,0,0,4.59231248737531e-255,5.14268989043275e-175,9.36800820299871e-113,2.77588972436349e-68,1.33799711615402e-41,1.04907410397963e-32
"z.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82702135986898e-321,1.35163939891829e-316,4.86136000919937e-316,0,0,0,0,0,0,0,0,1.09730657663395e-306,2.54937614898169e-253,9.63469289046475e-218,5.92297438783104e-200,5.92297438782888e-200,9.63469289045423e-218,2.54937614898169e-253,1.09730657663115e-306,0,0,0,6.33560506479256e-294,7.09491181317785e-214,1.29242076581463e-151,3.82964814466155e-107,1.84591560985611e-80,1.44731422889622e-71
"z.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.30269612406777e-292,3.49500715340024e-252,6.01624539715851e-230,1.68461645741667e-225,6.05895844529936e-225,7.72764182811709e-234,1.60322330184538e-260,5.41052078225448e-305,0,0,0,0,1.56837064736075e-307,2.24004436989961e-236,5.20430280004402e-183,1.96682859873143e-147,1.20911746206972e-129,1.20911746206928e-129,1.96682859872929e-147,5.20430280004402e-183,2.2400443698939e-236,1.56837064735562e-307,0,0,0,2.79644532609547e-268,5.09405064513725e-206,1.50944817028419e-161,7.275639522342e-135,5.7045601374085e-126
"z.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.80771533299276e-274,1.17601124011615e-216,1.24448860636405e-176,2.14224135208701e-154,5.99851701393164e-150,2.15745044878447e-149,2.75162876270446e-158,5.70869541901462e-185,1.92655727799036e-229,1.05760866367324e-291,0,0,0,9.14702803900829e-253,1.30643535662788e-181,3.03524576385051e-128,1.1470908595997e-92,7.05179693755281e-75,7.05179693755024e-75,1.14709085959845e-92,3.03524576385051e-128,1.30643535662455e-181,9.14702803897834e-253,0,0,0,0,5.73621281580475e-276,1.69973102788889e-231,8.19281541911512e-205,6.42368387129569e-196
"z.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42873629371968e-298,3.13674028206083e-285,1.12021934058066e-289,6.50767106433901e-312,4.59824549369219e-290,1.83897389218366e-214,1.19634653090415e-156,1.26600799055825e-116,2.17928445112105e-94,6.10224186248241e-90,2.19475653969597e-89,2.7992092356808e-98,5.80740874538921e-125,1.95987082222468e-169,1.07589656686843e-231,9.60752708103257e-312,0,1.73581759888145e-302,1.52410181759453e-213,2.17681687769504e-142,5.05740614962869e-89,1.91131289486188e-53,1.17498891268262e-35,1.17498891268219e-35,1.9113128948598e-53,5.05740614962869e-89,2.1768168776895e-142,1.52410181758954e-213,1.7358175988745e-302,0,0,0,0,5.46820592120366e-317,2.63571126982839e-290,2.06656382540809e-281
"z.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38217955022209e-292,1.14681906655313e-243,1.54783038375712e-212,3.39820716802007e-199,1.21359661642592e-203,7.05012607655787e-226,1.33641192369195e-245,5.34470514948315e-170,3.4770039376128e-112,3.67946464883675e-72,6.33376736755324e-50,1.77352618459818e-45,6.37873470060301e-45,8.1354869038727e-54,1.68783730745512e-80,5.69607416417844e-125,3.12693396338803e-187,2.79228539796286e-267,0,8.26305652958155e-279,7.25522052762742e-190,1.03623565785554e-118,2.4074898730353e-65,9.09847123691973e-30,5.59332951422113e-12,5.59332951421909e-12,9.0984712369098e-30,2.4074898730353e-65,1.0362356578529e-118,7.25522052760367e-190,8.26305652954848e-279,0,0,0,0,0,0,0
